Dates,AAPL Share Price
Jan-03-2005,1.13
Jan-04-2005,1.14
Jan-05-2005,1.15
Jan-06-2005,1.15
Jan-07-2005,1.24
Jan-10-2005,1.23
Jan-11-2005,1.15
Jan-12-2005,1.17
Jan-13-2005,1.25
Jan-14-2005,1.25
Jan-18-2005,1.26
Jan-19-2005,1.25
Jan-20-2005,1.26
Jan-21-2005,1.26
Jan-24-2005,1.26
Jan-25-2005,1.29
Jan-26-2005,1.29
Jan-27-2005,1.30
Jan-28-2005,1.32
Jan-31-2005,1.37
Feb-01-2005,1.38
Feb-02-2005,1.42
Feb-03-2005,1.39
Feb-04-2005,1.41
Feb-07-2005,1.41
Feb-08-2005,1.44
Feb-09-2005,1.41
Feb-10-2005,1.40
Feb-11-2005,1.45
Feb-14-2005,1.51
Feb-15-2005,1.58
Feb-16-2005,1.61
Feb-17-2005,1.57
Feb-18-2005,1.55
Feb-22-2005,1.52
Feb-23-2005,1.58
Feb-24-2005,1.59
Feb-25-2005,1.59
Feb-28-2005,1.60
Mar-01-2005,1.59
Mar-02-2005,1.58
Mar-03-2005,1.49
Mar-04-2005,1.53
Mar-07-2005,1.53
Mar-08-2005,1.45
Mar-09-2005,1.41
Mar-10-2005,1.42
Mar-11-2005,1.44
Mar-14-2005,1.44
Mar-15-2005,1.46
Mar-16-2005,1.47
Mar-17-2005,1.51
Mar-18-2005,1.53
Mar-21-2005,1.56
Mar-22-2005,1.53
Mar-23-2005,1.52
Mar-24-2005,1.52
Mar-28-2005,1.52
Mar-29-2005,1.49
Mar-30-2005,1.53
Mar-31-2005,1.49
Apr-01-2005,1.46
Apr-04-2005,1.47
Apr-05-2005,1.50
Apr-06-2005,1.51
Apr-07-2005,1.56
Apr-08-2005,1.56
Apr-11-2005,1.50
Apr-12-2005,1.52
Apr-13-2005,1.47
Apr-14-2005,1.33
Apr-15-2005,1.26
Apr-18-2005,1.27
Apr-19-2005,1.32
Apr-20-2005,1.27
Apr-21-2005,1.33
Apr-22-2005,1.27
Apr-25-2005,1.32
Apr-26-2005,1.29
Apr-27-2005,1.28
Apr-28-2005,1.27
Apr-29-2005,1.29
May-02-2005,1.30
May-03-2005,1.29
May-04-2005,1.33
May-05-2005,1.31
May-06-2005,1.33
May-09-2005,1.32
May-10-2005,1.30
May-11-2005,1.27
May-12-2005,1.22
May-13-2005,1.24
May-16-2005,1.27
May-17-2005,1.26
May-18-2005,1.28
May-19-2005,1.34
